,F72,F25,F64,F67,F34,F102,F104,F108,F95,F109,F23,F22,F79,F112,F113,F116,F117,F119,F110,F122,F115,F41,F40,F43,F42,F45,F44,F46,F126,F127,F128,F129,F131,F37,F133,F134,F136,F83,F73,F16,F3,F17,F2,F6,F13,F9,F15,F4,F8,category,1
0,1.2937536,1.2478625,-0.75616306,-0.43465978,-0.2212019,-0.598736,1.0740521,0.30309504,-0.81128955,-1.2872685,-0.08423652,-0.6395753,-0.34930563,-0.8112896,-0.34951493,0.9609529,-0.961488,-0.5378598,-1.0040984,-1.5071244,-0.4404178,-0.6952553,-0.28897282,-0.3240038,-0.44700345,-0.64958805,-0.63443035,-0.5631098,-0.41336364,-0.44207403,-0.4060851,-0.42366615,-0.7613357,-0.20265988,-0.67871654,-0.5605773,-0.6184423,-0.76383746,0.048084386,-0.37282997,-0.39526522,-0.14968519,-0.26360977,-0.3540827,-0.36197066,-0.069552094,-0.3844965,-0.2968205,-0.08578252,0,0.0012768621868205624
1,1.2937536,1.2478625,-0.75616306,-0.43465978,0.39546078,-0.598736,1.0740521,0.30309504,-0.81128955,-0.98199993,-0.8449975,-0.6395753,-0.28837857,-0.8112896,-0.28858408,-0.7312871,0.33393395,1.2523291,0.34155306,1.5176803,-0.4404178,-0.6952553,-0.28897282,-0.3240038,-0.44700345,-0.64958805,-0.63443035,-0.5631098,-0.41336364,-0.44207403,-0.4060851,-0.42366615,-0.7613357,-0.20265988,-0.67871654,-0.5605773,-0.6184423,-0.76383746,0.048084386,-0.37282997,-0.39526522,-0.14968519,3.7934856,-0.3540827,-0.36197066,-0.069552094,-0.3844965,3.0024533,-0.08578252,0,0.0002616623342896671
2,1.3138032,1.2593341,-0.75616306,-0.4265486,-0.2212019,-0.59821665,0.7302843,0.30309504,-0.81128955,-1.3361114,-0.08423652,-0.6395753,-0.34930563,-0.8112896,-0.34951493,0.9609529,-0.23975296,-0.5378598,-0.30435964,-1.5071244,-0.4404178,-0.6952553,-0.30356848,-0.3240038,-0.44700345,-0.64958805,-0.63443035,-0.5631098,-0.41144142,-0.4376003,-0.40747014,-0.42114624,-0.73575133,-0.20265988,-0.67871654,-0.5605773,-0.6184423,-0.7177967,0.048084386,-0.37282997,-0.39526522,-0.14968519,-0.26360977,-0.3540827,-0.36197066,-0.069552094,-0.3844965,-0.2968205,-0.08578252,0,0.0028281255778528753
3,1.3138032,1.2593341,-0.75616306,-0.4265486,-0.83786464,-0.59821665,0.7302843,0.30309504,-0.81128955,0.8129789,0.6765245,0.8645254,-0.28837857,-0.8112896,-0.28858408,-0.7312871,-0.7286703,-0.8985054,-0.7783763,-0.52987975,-0.4404178,-0.6952553,-0.30356848,-0.3240038,-0.44700345,-0.64958805,-0.63443035,-0.5631098,-0.41144142,-0.4376003,-0.40747014,-0.42114624,-0.73575133,-0.20265988,-0.67871654,-0.5605773,-0.6184423,-0.7177967,0.048084386,-0.37282997,-0.39526522,-0.14968519,-0.26360977,-0.3540827,-0.36197066,-0.069552094,-0.3844965,-0.2968205,-0.08578252,0,5.581355378516479e-05
4,0.2470186,0.2638483,-0.75616306,-0.4306042,0.39546078,-0.5934127,-0.0042141457,0.30309504,-0.8042212,-0.20051245,0.296144,-2.143676,-0.28837857,-0.8042213,-0.28858408,-0.7312871,-0.190703,-0.44818425,-0.15490082,-1.3209826,-0.4404178,-0.6952553,-0.30356848,-0.3240038,-0.44700345,-0.64958805,-0.63443035,-0.5631098,-0.40774867,-0.44222566,-0.40747014,-0.42081755,1.8538101,-0.20265988,-0.67871654,-0.5605773,-0.6184423,-0.17153983,0.048084386,-0.37282997,-0.39526522,-0.14968519,-0.26360977,-0.3540827,-0.36197066,-0.069552094,-0.3844965,-0.2968205,-0.08578252,0,3.763637502389468e-05
5,0.2470186,0.2638483,-0.75616306,-0.4306042,0.39546078,-0.5934127,-0.0042141457,0.30309504,-0.8042212,-0.88431406,0.296144,-0.6395753,-0.34930563,-0.8042213,-0.34951493,0.9609529,1.6490431,1.2523291,1.6757524,1.5176803,-0.4404178,-0.6952553,-0.30356848,-0.3240038,-0.44700345,-0.64958805,-0.63443035,-0.5631098,-0.40774867,-0.44222566,-0.40747014,-0.42081755,1.8538101,-0.20265988,-0.67871654,-0.5605773,-0.6184423,-0.17153983,0.048084386,2.5746799,-0.39526522,-0.14968519,-0.26360977,-0.3540827,-0.36197066,-0.069552094,2.6008034,-0.2968205,-0.08578252,0,0.03516059597064614
6,0.2470186,0.2638483,-0.75616306,-0.4306042,-0.83786464,-0.5934127,-0.0042141457,0.30309504,-0.8042212,-1.31169,-0.8449975,-0.6395753,-0.28837857,-0.8042213,-0.28858408,-0.7312871,-0.36004212,1.2523291,-0.4209827,1.5176803,-0.4404178,-0.6952553,-0.30356848,-0.3240038,-0.44700345,-0.64958805,-0.63443035,-0.5631098,-0.40774867,-0.44222566,-0.40747014,-0.42081755,1.8538101,-0.20265988,-0.67871654,-0.5605773,-0.6184423,-0.17153983,0.048084386,-0.37282997,-0.39526522,-0.14968519,-0.26360977,-0.3540827,-0.36197066,-0.069552094,-0.3844965,-0.2968205,-0.08578252,0,9.140376851729194e-05
7,-0.3696284,-0.3428754,-0.75616306,-0.43871537,-0.83786464,-0.59977466,1.717676,0.30309504,-0.81835794,-1.3361114,-0.8449975,-2.143676,-0.28837857,-0.818358,-0.28858408,-0.7312871,0.48198214,0.769874,1.095118,0.61023885,-0.4404178,-0.6952553,-0.30178452,-0.3240038,-0.44700345,-0.64958805,-0.63443035,-0.5631098,-0.41478005,-0.44245315,-0.40747014,-0.42470697,-0.8441954,-0.20265988,-0.67871654,-0.5605773,-0.6184423,-0.7819321,0.048084386,-0.37282997,-0.39526522,-0.14968519,-0.26360977,-0.3540827,-0.36197066,-0.069552094,-0.3844965,-0.2968205,-0.08578252,0,0.00015398583578800896
8,-0.886272,-0.88969153,-0.75616306,-0.36977026,0.39546078,-0.57666373,-0.23499061,0.30309504,-0.81128955,-1.4337972,-0.8449975,-2.143676,-0.28837857,-0.8112896,-0.28858408,-0.7312871,-0.961488,0.769874,-1.0040984,0.61023885,-0.4404178,-0.6952553,-0.17440282,-0.3240038,-0.44700345,-0.64958805,-0.63443035,-0.5631098,-0.38948733,-0.41288123,-0.33738735,-0.3933998,-0.57699037,1.1605772,-0.67871654,-0.5605773,-0.6184423,-0.8215392,0.048084386,-0.37282997,-0.39526522,-0.14968519,-0.26360977,-0.3540827,-0.36197066,-0.069552094,-0.3844965,-0.2968205,-0.08578252,0,8.94872513628544e-05
9,-0.886272,-0.88969153,-0.75616306,-0.36977026,0.39546078,-0.57666373,-0.23499061,0.30309504,-0.81128955,-1.2262148,-1.9861392,-0.6395753,-0.28837857,-0.8112896,-0.28858408,-0.7312871,0.5579543,-0.8985054,0.4690359,-0.52987975,-0.4404178,-0.6952553,-0.17440282,-0.3240038,-0.44700345,-0.64958805,-0.63443035,-0.5631098,-0.38948733,-0.41288123,-0.33738735,-0.3933998,-0.57699037,1.1605772,-0.67871654,-0.5605773,-0.6184423,-0.8215392,0.048084386,-0.37282997,-0.39526522,-0.14968519,-0.26360977,1.305321,-0.36197066,-0.069552094,-0.3844965,-0.2968205,-0.08578252,0,0.00010759516767660906
