"data_dir","result_dir","num_run","balance_data","feaSelect","correlate","eps","min_Pts","k","MLmodel","select_method","LDF_r","TN","FP","FN","TP","accuracy","precision","recall","F1","AUC","F_MEASURE","G_MEASURE","MCC",
../data/,../result_data/,5,NO,recurElimination,Euclidean,11,1,20,LR,LDF,10,222.7,1.8,2.7,32.9,0.9826989619377163,0.9481268011527378,0.9241573033707864,0.9359886201991465,0.957655753968254,0.9359886201991465,0.9568693569419694,0.9260897559432737,
../data/,../result_data/,5,NO,recurElimination,Euclidean,11,1,21,LR,LDF,10,222.5,2.0,2.8,32.8,0.9815455594002307,0.9425287356321839,0.9213483146067416,0.9318181818181818,0.955781746031746,0.9318181818181818,0.9549481177132539,0.9212279223041873,
../data/,../result_data/,5,NO,recurElimination,Euclidean,11,1,22,LR,LDF,10,222.5,2.0,2.8,32.8,0.9815455594002307,0.9425287356321839,0.9213483146067416,0.9318181818181818,0.955781746031746,0.9318181818181818,0.9549481177132539,0.9212279223041873,
../data/,../result_data/,5,NO,recurElimination,Euclidean,11,1,23,LR,LDF,10,222.5,2.0,2.5,33.1,0.9826989619377161,0.9430199430199431,0.9297752808988764,0.9363507779349364,0.9600674603174604,0.9363507779349364,0.959454662111328,0.9263712607940363,
../data/,../result_data/,5,NO,recurElimination,Euclidean,11,1,24,LR,LDF,10,222.5,2.0,2.5,33.1,0.9826989619377161,0.9430199430199431,0.9297752808988764,0.9363507779349364,0.9600674603174604,0.9363507779349364,0.959454662111328,0.9263712607940363,
../data/,../result_data/,5,NO,recurElimination,Euclidean,11,1,25,LR,LDF,10,222.4,2.1,2.6,33.0,0.9819300269127258,0.9401709401709402,0.9269662921348314,0.9335219236209334,0.9584553571428571,0.9335219236209334,0.9577487579880908,0.9230973837610864,
../data/,../result_data/,5,NO,recurElimination,Euclidean,11,1,26,LR,LDF,10,222.4,2.1,2.5,33.1,0.982314494425221,0.9403409090909091,0.9297752808988764,0.9350282485875706,0.9598839285714286,0.9350282485875706,0.9592458883309586,0.9248125333489694,
../data/,../result_data/,5,NO,recurElimination,Euclidean,11,1,27,LR,LDF,10,222.5,2.0,2.6,33.0,0.982314494425221,0.9428571428571428,0.9269662921348314,0.9348441926345609,0.9586785714285714,0.9348441926345609,0.957956880524479,0.9246584335443089,
../data/,../result_data/,5,NO,recurElimination,Euclidean,11,1,28,LR,LDF,10,222.4,2.1,2.6,33.0,0.9819300269127258,0.9401709401709402,0.9269662921348314,0.9335219236209334,0.9584553571428571,0.9335219236209334,0.9577487579880908,0.9230973837610864,
../data/,../result_data/,5,NO,recurElimination,Euclidean,11,1,29,LR,LDF,10,222.4,2.1,2.6,33.0,0.9819300269127258,0.9401709401709402,0.9269662921348314,0.9335219236209334,0.9584156746031747,0.9335219236209334,0.9577487579880908,0.9230973837610864,
../data/,../result_data/,5,NO,recurElimination,Euclidean,11,1,30,LR,LDF,10,222.1,2.4,2.5,33.1,0.9811610918877354,0.9323943661971832,0.9297752808988764,0.9310829817158931,0.9591775793650793,0.9310829817158931,0.9586189854939232,0.9201735175174168,
../data/,../result_data/,5,NO,recurElimination,Euclidean,11,1,31,LR,LDF,10,222.1,2.4,2.5,33.1,0.9811610918877354,0.9323943661971832,0.9297752808988764,0.9310829817158931,0.9591775793650793,0.9310829817158931,0.9586189854939232,0.9201735175174168,
../data/,../result_data/,5,NO,recurElimination,Euclidean,11,1,32,LR,LDF,10,222.1,2.4,2.5,33.1,0.9811610918877354,0.9323943661971832,0.9297752808988764,0.9310829817158931,0.9591775793650793,0.9310829817158931,0.9586189854939232,0.9201735175174168,
../data/,../result_data/,5,NO,recurElimination,Euclidean,11,1,33,LR,LDF,10,222.1,2.4,2.5,33.1,0.9811610918877354,0.9323943661971832,0.9297752808988764,0.9310829817158931,0.9591775793650793,0.9310829817158931,0.9586189854939232,0.9201735175174168,
../data/,../result_data/,5,NO,recurElimination,Euclidean,11,1,34,LR,LDF,10,222.1,2.4,2.6,33.0,0.9807766243752402,0.9322033898305085,0.9269662921348314,0.9295774647887324,0.9577886904761904,0.9295774647887324,0.957123809847172,0.9184515545654607,
../data/,../result_data/,5,NO,recurElimination,Euclidean,11,1,35,LR,LDF,10,222.1,2.4,2.5,33.1,0.9811610918877354,0.9323943661971832,0.9297752808988764,0.9310829817158931,0.959217261904762,0.9310829817158931,0.9586189854939232,0.9201735175174168,
../data/,../result_data/,5,NO,recurElimination,Euclidean,11,1,36,LR,LDF,10,222.1,2.4,2.5,33.1,0.9811610918877354,0.9323943661971832,0.9297752808988764,0.9310829817158931,0.959217261904762,0.9310829817158931,0.9586189854939232,0.9201735175174168,
../data/,../result_data/,5,NO,recurElimination,Euclidean,11,1,37,LR,LDF,10,222.1,2.4,2.5,33.1,0.9811610918877354,0.9323943661971832,0.9297752808988764,0.9310829817158931,0.959217261904762,0.9310829817158931,0.9586189854939232,0.9201735175174168,
../data/,../result_data/,5,NO,recurElimination,Euclidean,11,1,38,LR,LDF,10,222.1,2.4,2.5,33.1,0.9811610918877354,0.9323943661971832,0.9297752808988764,0.9310829817158931,0.959217261904762,0.9310829817158931,0.9586189854939232,0.9201735175174168,
../data/,../result_data/,5,NO,recurElimination,Euclidean,11,1,39,LR,LDF,10,222.1,2.4,2.5,33.1,0.9811610918877354,0.9323943661971832,0.9297752808988764,0.9310829817158931,0.959217261904762,0.9310829817158931,0.9586189854939232,0.9201735175174168,
../data/,../result_data/,5,NO,recurElimination,Euclidean,11,1,40,LR,LDF,10,222.2,2.3,2.5,33.1,0.9815455594002306,0.9350282485875707,0.9297752808988764,0.9323943661971832,0.9594404761904762,0.9323943661971832,0.9588280500897254,0.9217137052148131,
../data/,../result_data/,5,NO,recurElimination,Euclidean,11,1,41,LR,LDF,10,222.2,2.3,2.7,32.9,0.9807766243752404,0.9346590909090909,0.9241573033707864,0.9293785310734464,0.9566230158730159,0.9293785310734464,0.9558320045867091,0.9182726332125108,
../data/,../result_data/,5,NO,recurElimination,Euclidean,11,1,42,LR,LDF,10,222.1,2.4,2.7,32.9,0.9803921568627453,0.9320113314447592,0.9241573033707864,0.928067700987306,0.9563611111111111,0.928067700987306,0.9556242443344289,0.9167279467626108,
