"data_dir","result_dir","num_run","balance_data","feaSelect","correlate","eps","min_Pts","k","MLmodel","select_method","LDF_r","TN","FP","FN","TP","accuracy","precision","recall","F1","AUC","F_MEASURE","G_MEASURE","MCC",
../data/,../result_data/,5,NO,recurElimination,Euclidean,11,1,6,LR,LDF,10,78.9,0.1,0.3,2.5,0.9951100244498778,0.9615384615384615,0.8928571428571429,0.9259259259259258,0.9493670886075949,0.9259259259259258,0.9428325605850582,0.9240790585088692,
../data/,../result_data/,5,NO,recurElimination,Euclidean,11,1,7,LR,LDF,10,78.9,0.1,0.3,2.5,0.9951100244498778,0.9615384615384615,0.8928571428571429,0.9259259259259258,0.9493670886075949,0.9259259259259258,0.9428325605850582,0.9240790585088692,
../data/,../result_data/,5,NO,recurElimination,Euclidean,11,1,8,LR,LDF,10,78.9,0.1,0.2,2.6,0.9963325183374083,0.9629629629629629,0.9285714285714285,0.9454545454545454,0.9660337552742616,0.9454545454545454,0.9623756802401952,0.9437247016435262,
../data/,../result_data/,5,NO,recurElimination,Euclidean,11,1,9,LR,LDF,10,78.9,0.1,0.2,2.6,0.9963325183374083,0.9629629629629629,0.9285714285714285,0.9454545454545454,0.9660337552742616,0.9454545454545454,0.9623756802401952,0.9437247016435262,
../data/,../result_data/,5,NO,recurElimination,Euclidean,11,1,10,LR,LDF,10,78.9,0.1,0.3,2.5,0.9951100244498778,0.9615384615384615,0.8928571428571429,0.9259259259259258,0.9493670886075949,0.9259259259259258,0.9428325605850582,0.9240790585088692,
../data/,../result_data/,5,NO,recurElimination,Euclidean,11,1,11,LR,LDF,10,78.9,0.1,0.1,2.7,0.997555012224939,0.9642857142857143,0.9642857142857143,0.9642857142857143,0.9827004219409282,0.9642857142857143,0.9812076827414674,0.9630198915009043,
../data/,../result_data/,5,NO,recurElimination,Euclidean,11,1,12,LR,LDF,10,78.9,0.1,0.2,2.6,0.9963325183374083,0.9629629629629629,0.9285714285714285,0.9454545454545454,0.9660337552742616,0.9454545454545454,0.9623756802401952,0.9437247016435262,
../data/,../result_data/,5,NO,recurElimination,Euclidean,11,1,13,LR,LDF,10,78.9,0.1,0.2,2.6,0.9963325183374083,0.9629629629629629,0.9285714285714285,0.9454545454545454,0.9660337552742616,0.9454545454545454,0.9623756802401952,0.9437247016435262,
../data/,../result_data/,5,NO,recurElimination,Euclidean,11,1,14,LR,LDF,10,78.9,0.1,0.3,2.5,0.9951100244498778,0.9615384615384615,0.8928571428571429,0.9259259259259258,0.9493670886075949,0.9259259259259258,0.9428325605850582,0.9240790585088692,
../data/,../result_data/,5,NO,recurElimination,Euclidean,11,1,15,LR,LDF,10,78.9,0.1,0.3,2.5,0.9951100244498778,0.9615384615384615,0.8928571428571429,0.9259259259259258,0.9493670886075949,0.9259259259259258,0.9428325605850582,0.9240790585088692,
../data/,../result_data/,5,NO,recurElimination,Euclidean,11,1,16,LR,LDF,10,78.9,0.1,0.2,2.6,0.9963325183374083,0.9629629629629629,0.9285714285714285,0.9454545454545454,0.9660337552742616,0.9454545454545454,0.9623756802401952,0.9437247016435262,
../data/,../result_data/,5,NO,recurElimination,Euclidean,11,1,17,LR,LDF,10,78.9,0.1,0.2,2.6,0.9963325183374083,0.9629629629629629,0.9285714285714285,0.9454545454545454,0.9660337552742616,0.9454545454545454,0.9623756802401952,0.9437247016435262,
../data/,../result_data/,5,NO,recurElimination,Euclidean,11,1,18,LR,LDF,10,78.9,0.1,0.2,2.6,0.9963325183374083,0.9629629629629629,0.9285714285714285,0.9454545454545454,0.9660337552742616,0.9454545454545454,0.9623756802401952,0.9437247016435262,
../data/,../result_data/,5,NO,recurElimination,Euclidean,11,1,19,LR,LDF,10,78.9,0.1,0.2,2.6,0.9963325183374083,0.9629629629629629,0.9285714285714285,0.9454545454545454,0.9660337552742616,0.9454545454545454,0.9623756802401952,0.9437247016435262,
../data/,../result_data/,5,NO,recurElimination,Euclidean,11,1,20,LR,LDF,10,78.9,0.1,0.2,2.6,0.9963325183374083,0.9629629629629629,0.9285714285714285,0.9454545454545454,0.9660337552742616,0.9454545454545454,0.9623756802401952,0.9437247016435262,
../data/,../result_data/,5,NO,recurElimination,Euclidean,11,1,21,LR,LDF,10,78.9,0.1,0.2,2.6,0.9963325183374083,0.9629629629629629,0.9285714285714285,0.9454545454545454,0.9660337552742616,0.9454545454545454,0.9623756802401952,0.9437247016435262,
../data/,../result_data/,5,NO,recurElimination,Euclidean,11,1,22,LR,LDF,10,78.9,0.1,0.2,2.6,0.9963325183374083,0.9629629629629629,0.9285714285714285,0.9454545454545454,0.9660337552742616,0.9454545454545454,0.9623756802401952,0.9437247016435262,
../data/,../result_data/,5,NO,recurElimination,Euclidean,11,1,23,LR,LDF,10,78.9,0.1,0.2,2.6,0.9963325183374083,0.9629629629629629,0.9285714285714285,0.9454545454545454,0.9660337552742616,0.9454545454545454,0.9623756802401952,0.9437247016435262,
../data/,../result_data/,5,NO,recurElimination,Euclidean,11,1,24,LR,LDF,10,78.9,0.1,0.4,2.4,0.9938875305623472,0.96,0.8571428571428572,0.9056603773584906,0.9327004219409283,0.9056603773584906,0.922537269804151,0.9040601709284036,
../data/,../result_data/,5,NO,recurElimination,Euclidean,11,1,25,LR,LDF,10,78.9,0.1,0.4,2.4,0.9938875305623472,0.96,0.8571428571428572,0.9056603773584906,0.9327004219409283,0.9056603773584906,0.922537269804151,0.9040601709284036,
