"data_dir","result_dir","num_run","balance_data","feaSelect","correlate","eps","min_Pts","k","MLmodel","select_method","LDF_r","predict_time","fit_time","select_Fea_time","totle_time","TN","FP","FN","TP","accuracy","precision","recall","F1","AUC","F_MEASURE","G_MEASURE","MCC",
../data/,../result_data/,10,NO,DBSCAN,Euclidean,35,2,9,NB,std,2,0.000823068618774414,0.001671767234802246,0.08931443691253663,0.8766724109649658,71.70000000000002,132.90000000000003,5.299999999999999,29.0,0.42151527835914604,0.17912291537986408,0.8454810495626823,0.2956167176350662,0.5985859465737516,0.2956167176350662,0.4955014530467513,0.14699816939157254,
../data/,../result_data/,10,NO,DBSCAN,Euclidean,35,2,9,NB,inclass_corr,2,0.0008208751678466797,0.0016594886779785155,0.5737244606018066,1.361949610710144,65.29999999999998,139.29999999999998,5.1000000000000005,29.199999999999996,0.39556299706990367,0.17329376854599407,0.8513119533527697,0.2879684418145957,0.5860053289608526,0.2879684418145957,0.46426453991972344,0.13111876097532696,
../data/,../result_data/,10,NO,DBSCAN,Euclidean,35,2,9,NB,LDF,2,0.0008144855499267578,0.0016682147979736328,0.8719540357589721,1.6610841751098633,72.79999999999998,131.79999999999998,4.5,29.800000000000004,0.42946839681875265,0.18440594059405943,0.8688046647230321,0.3042368555385401,0.6129459588713535,0.3042368555385401,0.5048661177642388,0.16836026324548273,
../data/,../result_data/,10,NO,DBSCAN,Euclidean,35,2,9,LR,std,2,0.0008272886276245117,0.021129202842712403,0.09329233169555665,1.0559738159179688,197.09999999999997,7.5,29.699999999999996,4.6000000000000005,0.8442863122645459,0.38016528925619836,0.1341107871720117,0.19827586206896555,0.5485466625674659,0.19827586206896555,0.23544442843064317,0.1558421277031826,
../data/,../result_data/,10,NO,DBSCAN,Euclidean,35,2,9,LR,inclass_corr,2,0.000829005241394043,0.020392179489135742,0.59681396484375,1.5505851268768311,199.59999999999997,5.0,30.9,3.3999999999999995,0.849727919631645,0.40476190476190477,0.09912536443148687,0.15925058548009366,0.5373199767711964,0.15925058548009366,0.17996478350340495,0.14219106981239035,
../data/,../result_data/,10,NO,DBSCAN,Euclidean,35,2,9,LR,LDF,2,0.0008298158645629883,0.023753881454467773,0.8813024759292603,1.8490113496780396,197.09999999999997,7.5,29.9,4.3999999999999995,0.8434491419003767,0.3697478991596639,0.1282798833819242,0.1904761904761905,0.5456475029036004,0.1904761904761905,0.22641066106931812,0.1476787251727579,
../data/,../result_data/,10,NO,DBSCAN,Euclidean,35,2,9,SVM,std,2,0.004452800750732422,0.06752774715423585,0.09023773670196533,1.6437896013259887,204.59999999999997,0.0,34.300000000000004,0.0,0.8564252825449978,0,0.0,0,0.5,nan,0.0,nan,
../data/,../result_data/,10,NO,DBSCAN,Euclidean,35,2,9,SVM,inclass_corr,2,0.004500985145568848,0.06098682880401611,0.6031654834747314,2.1367437839508057,204.59999999999997,0.0,34.300000000000004,0.0,0.8564252825449978,0,0.0,0,0.5,nan,0.0,nan,
../data/,../result_data/,10,NO,DBSCAN,Euclidean,35,2,9,SVM,LDF,2,0.004420185089111328,0.06462204456329346,0.8746114492416381,2.4061893224716187,204.59999999999997,0.0,34.300000000000004,0.0,0.8564252825449978,0,0.0,0,0.5,nan,0.0,nan,
../data/,../result_data/,10,NO,DBSCAN,Euclidean,35,2,9,RF,std,2,0.012012720108032227,0.3089650869369507,0.08933193683624267,4.114035201072693,183.75,20.849999999999998,29.669999999999998,4.630000000000001,0.7885307660108832,0.18171114599686033,0.1349854227405248,0.1549013047842088,0.5167991050078569,0.1549013047842088,0.23469559607736526,0.03757841413111412,
../data/,../result_data/,10,NO,DBSCAN,Euclidean,35,2,9,RF,inclass_corr,2,0.012705373764038085,0.31972737312316896,0.6060588359832764,4.770916438102722,182.84,21.759999999999998,29.51,4.79,0.7853913771452491,0.18041431261770247,0.13965014577259474,0.15743631881676254,0.5168750427000067,0.15743631881676254,0.2415528158108052,0.03714815543853126,
../data/,../result_data/,10,NO,DBSCAN,Euclidean,35,2,9,RF,LDF,2,0.01199963092803955,0.31184661388397217,0.8680586338043212,4.909094953536988,183.7,20.900000000000002,29.660000000000004,4.64,0.7883633319380494,0.18167580266249017,0.13527696793002914,0.1550802139037433,0.5168282947325271,0.1550802139037433,0.23512776242046135,0.03759305029436635,
../data/,../result_data/,10,NO,DBSCAN,Euclidean,35,2,9,DT,std,2,0.0007359504699707032,0.009272265434265136,0.09110438823699951,1.0058046102523803,145.38000000000002,59.21999999999999,25.3,8.999999999999998,0.6462118041021347,0.13192612137203166,0.26239067055393583,0.1755754974639095,0.48677080344332857,0.1755754974639095,0.3832550226759661,-0.0210016976445547,
../data/,../result_data/,10,NO,DBSCAN,Euclidean,35,2,9,DT,inclass_corr,2,0.0007168292999267578,0.009575128555297852,0.5385087966918946,1.420525813102722,160.23999999999995,44.36,24.34,9.96,0.7124319799079112,0.1833578792341679,0.29037900874635575,0.2247799593771158,0.5369863018378082,0.2247799593771158,0.42367407268974133,0.06154646740580072,
../data/,../result_data/,10,NO,DBSCAN,Euclidean,35,2,9,DT,LDF,2,0.0007385730743408204,0.00953986644744873,0.8831778049468995,1.800183153152466,145.97,58.63000000000001,23.999999999999996,10.3,0.6541230640435328,0.1494269548817641,0.3002915451895044,0.1995543931027802,0.507284706565553,0.1995543931027802,0.42267615629749783,0.010628114249797175,
