"data_dir","result_dir","num_run","balance_data","feaSelect","correlate","eps","min_Pts","k","MLmodel","select_method","LDF_r","predict_time","fit_time","select_Fea_time","totle_time","TN","FP","FN","TP","accuracy","precision","recall","F1","AUC","F_MEASURE","G_MEASURE","MCC",
../data/,../result_data/,10,NO,DBSCAN,Euclidean,47,1,9,NB,std,12,0.0008731365203857421,0.0019150972366333008,0.0636911392211914,0.8595218181610107,149.90000000000003,54.7,5.299999999999999,29.0,0.7488488907492675,0.34647550776583036,0.8454810495626823,0.4915254237288136,0.7893668442986951,0.4915254237288136,0.7850314718685469,0.4249295018902828,
../data/,../result_data/,10,NO,DBSCAN,Euclidean,47,1,9,NB,inclass_corr,12,0.000868988037109375,0.0018970489501953125,0.228269362449646,1.020603847503662,113.4,91.20000000000002,6.9,27.4,0.5893679363750522,0.2310286677908937,0.7988338192419825,0.3584041857423151,0.6763320694131313,0.3584041857423151,0.6544379221665477,0.24763112884733038,
../data/,../result_data/,10,NO,DBSCAN,Euclidean,47,1,9,NB,LDF,12,0.0008747100830078125,0.0019127368927001954,0.31542646884918213,1.1094098329544066,147.29999999999998,57.3,5.6000000000000005,28.699999999999996,0.7367099204688154,0.3337209302325581,0.836734693877551,0.4771404821280133,0.7786149825783973,0.4771404821280133,0.7739566713442649,0.406676837623687,
../data/,../result_data/,10,NO,DBSCAN,Euclidean,47,1,9,LR,std,12,0.0008184909820556641,0.04217963218688965,0.06384706497192383,1.2026295423507691,200.79999999999998,3.8,7.799999999999999,26.5,0.9514441188781916,0.8745874587458745,0.772594752186589,0.8204334365325079,0.8772743731638999,0.8204334365325079,0.8645792544523103,0.7945210060861989,
../data/,../result_data/,10,NO,DBSCAN,Euclidean,47,1,9,LR,inclass_corr,12,0.0008397579193115234,0.04564578533172607,0.21741137504577637,1.3912371158599854,194.40000000000003,10.200000000000001,14.7,19.599999999999998,0.8957722896609461,0.6577181208053691,0.5714285714285714,0.6115444617784711,0.7602109380337501,0.6115444617784711,0.7136563876651982,0.553517885681237,
../data/,../result_data/,10,NO,DBSCAN,Euclidean,47,1,9,LR,LDF,12,0.000780940055847168,0.04026806354522705,0.3172849178314209,1.4522657632827758,200.59999999999997,4.0,7.799999999999999,26.5,0.9506069485140225,0.8688524590163934,0.772594752186589,0.8179012345679012,0.8767877638860424,0.8179012345679012,0.8641997385892926,0.7912645094411885,
../data/,../result_data/,10,NO,DBSCAN,Euclidean,47,1,9,SVM,std,12,0.0029555320739746093,0.07353293895721436,0.06820082664489746,1.6404343605041505,200.20000000000002,4.3999999999999995,7.200000000000001,27.1,0.9514441188781917,0.8603174603174604,0.7900874635568512,0.8237082066869301,0.8845888843342216,0.8237082066869301,0.874255530346001,0.7965819846236956,
../data/,../result_data/,10,NO,DBSCAN,Euclidean,47,1,9,SVM,inclass_corr,12,0.004966616630554199,0.13160498142242433,0.21479055881500245,2.324597477912903,192.5,12.099999999999998,14.099999999999998,20.199999999999996,0.8903306822938468,0.6253869969040247,0.5889212827988337,0.6066066066066065,0.7641914326706293,0.6066066066066065,0.7244075125259997,0.543288161713132,
../data/,../result_data/,10,NO,DBSCAN,Euclidean,47,1,9,SVM,LDF,12,0.002915835380554199,0.07291986942291259,0.3158941984176636,1.976346778869629,200.0,4.6000000000000005,7.6,26.699999999999996,0.9489326077856844,0.853035143769968,0.7784256559766763,0.8140243902439025,0.8783435813349729,0.8140243902439025,0.8666847361237119,0.7856026590676023,
../data/,../result_data/,10,NO,DBSCAN,Euclidean,47,1,9,RF,std,12,0.011626100540161133,0.3373756170272827,0.06377944946289063,4.395827126502991,192.17000000000002,12.430000000000001,7.95,26.350000000000005,0.9146923398911678,0.6794739556472408,0.7682215743440234,0.721127531472359,0.8539378971100635,0.721127531472359,0.8451691909988791,0.6727567594416372,
../data/,../result_data/,10,NO,DBSCAN,Euclidean,47,1,9,RF,inclass_corr,12,0.011946296691894532,0.3719887971878052,0.2166539192199707,4.80973207950592,182.89999999999998,21.700000000000003,15.74,18.560000000000002,0.8432817078275429,0.46100347739692,0.5411078717201167,0.49785407725321895,0.7170780385324862,0.49785407725321895,0.6741487259362322,0.4075360948239789,
../data/,../result_data/,10,NO,DBSCAN,Euclidean,47,1,9,RF,LDF,12,0.011559176445007324,0.34143967628479005,0.3165493726730347,4.6783027172088625,191.62,12.98,7.989999999999999,26.310000000000002,0.912222687316869,0.6696360397047594,0.7670553935860058,0.7150428047289032,0.8519995900799342,0.7150428047289032,0.8433747488204683,0.6655834497424423,
../data/,../result_data/,10,NO,DBSCAN,Euclidean,47,1,9,DT,std,12,0.0007318735122680664,0.010273289680480958,0.06393606662750244,0.9515205383300781,186.19,18.410000000000004,6.13,28.169999999999998,0.8972791963164504,0.6047659939888363,0.8212827988338193,0.6965875370919881,0.8659010897041745,0.6965875370919881,0.8633771029701566,0.6472691018668758,
../data/,../result_data/,10,NO,DBSCAN,Euclidean,47,1,9,DT,inclass_corr,12,0.0007503747940063477,0.013920998573303223,0.21846742630004884,1.1367997407913208,169.14000000000001,35.459999999999994,9.57,24.729999999999997,0.8115110925073252,0.4108655922910783,0.7209912536443148,0.5234416340353477,0.7735537507686001,0.5234416340353477,0.7702296418647562,0.4423725309893788,
../data/,../result_data/,10,NO,DBSCAN,Euclidean,47,1,9,DT,LDF,12,0.0007345914840698242,0.01017615795135498,0.3161058187484741,1.19540274143219,186.57,18.03,6.529999999999999,27.77,0.8971954792800335,0.6063318777292577,0.8096209912536444,0.6933832709113609,0.8609419792307167,0.6933832709113609,0.8577119470895557,0.6427040320532209,
