"data_dir","result_dir","num_run","balance_data","feaSelect","correlate","eps","min_Pts","k","MLmodel","select_method","LDF_r","TN","FP","FN","TP","accuracy","precision","recall","F1","AUC","F_MEASURE","G_MEASURE","MCC",
../data/,../result_data/,5,NO,recurElimination,Euclidean,11,1,30,LR,LDF,10,73.5,0.9,0.8,3.4,0.9783715012722646,0.7906976744186046,0.8095238095238094,0.7999999999999999,0.9014279279279279,0.7999999999999999,0.8898621942100204,0.7886302541417258,
../data/,../result_data/,5,NO,recurElimination,Euclidean,11,1,31,LR,LDF,10,73.5,0.9,0.7,3.5,0.9796437659033078,0.7954545454545454,0.8333333333333333,0.8139534883720929,0.9139279279279279,0.8139534883720929,0.904059040590406,0.8034356471755074,
../data/,../result_data/,5,NO,recurElimination,Euclidean,11,1,32,LR,LDF,10,73.5,0.9,0.6,3.6,0.9809160305343512,0.8,0.8571428571428571,0.8275862068965518,0.9264279279279279,0.8275862068965518,0.9178894786137994,0.8180430232909508,
../data/,../result_data/,5,NO,recurElimination,Euclidean,11,1,33,LR,LDF,10,73.5,0.9,0.5,3.7,0.9821882951653943,0.8043478260869564,0.8809523809523809,0.8409090909090907,0.9339279279279278,0.8409090909090907,0.9313675125860474,0.8324610936784473,
../data/,../result_data/,5,NO,recurElimination,Euclidean,11,1,34,LR,LDF,10,73.5,0.9,0.7,3.5,0.9796437659033078,0.7954545454545454,0.8333333333333333,0.8139534883720929,0.9139279279279279,0.8139534883720929,0.904059040590406,0.8034356471755074,
../data/,../result_data/,5,NO,recurElimination,Euclidean,11,1,35,LR,LDF,10,73.5,0.9,0.7,3.5,0.9796437659033078,0.7954545454545454,0.8333333333333333,0.8139534883720929,0.9139279279279279,0.8139534883720929,0.904059040590406,0.8034356471755074,
../data/,../result_data/,5,NO,recurElimination,Euclidean,11,1,36,LR,LDF,10,73.5,0.9,0.7,3.5,0.9796437659033078,0.7954545454545454,0.8333333333333333,0.8139534883720929,0.9139279279279279,0.8139534883720929,0.904059040590406,0.8034356471755074,
../data/,../result_data/,5,NO,recurElimination,Euclidean,11,1,37,LR,LDF,10,73.4,1.0,0.6,3.6,0.9796437659033079,0.782608695652174,0.8571428571428571,0.8181818181818182,0.9257522522522523,0.8181818181818182,0.9173088939804207,0.8083611150548282,
../data/,../result_data/,5,NO,recurElimination,Euclidean,11,1,38,LR,LDF,10,73.4,1.0,0.6,3.6,0.9796437659033079,0.782608695652174,0.8571428571428571,0.8181818181818182,0.9257522522522523,0.8181818181818182,0.9173088939804207,0.8083611150548282,
../data/,../result_data/,5,NO,recurElimination,Euclidean,11,1,39,LR,LDF,10,73.4,1.0,0.9,3.3,0.9758269720101781,0.7674418604651163,0.7857142857142856,0.776470588235294,0.8882522522522522,0.776470588235294,0.8747562296858071,0.7637541252487409,
../data/,../result_data/,5,NO,recurElimination,Euclidean,11,1,40,LR,LDF,10,73.4,1.0,0.9,3.3,0.9758269720101781,0.7674418604651163,0.7857142857142856,0.776470588235294,0.8882522522522522,0.776470588235294,0.8747562296858071,0.7637541252487409,
../data/,../result_data/,5,NO,recurElimination,Euclidean,11,1,41,LR,LDF,10,73.4,1.0,0.6,3.6,0.9796437659033079,0.782608695652174,0.8571428571428571,0.8181818181818182,0.9257522522522523,0.8181818181818182,0.9173088939804207,0.8083611150548282,
../data/,../result_data/,5,NO,recurElimination,Euclidean,11,1,42,LR,LDF,10,73.4,1.0,0.6,3.6,0.9796437659033079,0.782608695652174,0.8571428571428571,0.8181818181818182,0.9257522522522523,0.8181818181818182,0.9173088939804207,0.8083611150548282,
../data/,../result_data/,5,NO,recurElimination,Euclidean,11,1,43,LR,LDF,10,73.4,1.0,0.6,3.6,0.9796437659033079,0.782608695652174,0.8571428571428571,0.8181818181818182,0.9257522522522523,0.8181818181818182,0.9173088939804207,0.8083611150548282,
../data/,../result_data/,5,NO,recurElimination,Euclidean,11,1,44,LR,LDF,10,73.4,1.0,0.9,3.3,0.9758269720101781,0.7674418604651163,0.7857142857142856,0.776470588235294,0.8882522522522522,0.776470588235294,0.8747562296858071,0.7637541252487409,
../data/,../result_data/,5,NO,recurElimination,Euclidean,11,1,45,LR,LDF,10,73.4,1.0,0.9,3.3,0.9758269720101781,0.7674418604651163,0.7857142857142856,0.776470588235294,0.8882522522522522,0.776470588235294,0.8747562296858071,0.7637541252487409,
../data/,../result_data/,5,NO,recurElimination,Euclidean,11,1,46,LR,LDF,10,73.4,1.0,0.9,3.3,0.9758269720101781,0.7674418604651163,0.7857142857142856,0.776470588235294,0.8882522522522522,0.776470588235294,0.8747562296858071,0.7637541252487409,
../data/,../result_data/,5,NO,recurElimination,Euclidean,11,1,47,LR,LDF,10,73.4,1.0,0.9,3.3,0.9758269720101781,0.7674418604651163,0.7857142857142856,0.776470588235294,0.8882522522522522,0.776470588235294,0.8747562296858071,0.7637541252487409,
../data/,../result_data/,5,NO,recurElimination,Euclidean,11,1,48,LR,LDF,10,73.4,1.0,0.9,3.3,0.9758269720101781,0.7674418604651163,0.7857142857142856,0.776470588235294,0.8882522522522522,0.776470588235294,0.8747562296858071,0.7637541252487409,
../data/,../result_data/,5,NO,recurElimination,Euclidean,11,1,49,LR,LDF,10,73.4,1.0,0.9,3.3,0.9758269720101781,0.7674418604651163,0.7857142857142856,0.776470588235294,0.8882522522522522,0.776470588235294,0.8747562296858071,0.7637541252487409,
../data/,../result_data/,5,NO,recurElimination,Euclidean,11,1,50,LR,LDF,10,73.4,1.0,0.9,3.3,0.9758269720101781,0.7674418604651163,0.7857142857142856,0.776470588235294,0.8882522522522522,0.776470588235294,0.8747562296858071,0.7637541252487409,
../data/,../result_data/,5,NO,recurElimination,Euclidean,11,1,51,LR,LDF,10,73.4,1.0,0.9,3.3,0.9758269720101781,0.7674418604651163,0.7857142857142856,0.776470588235294,0.8882522522522522,0.776470588235294,0.8747562296858071,0.7637541252487409,
../data/,../result_data/,5,NO,recurElimination,Euclidean,11,1,52,LR,LDF,10,73.4,1.0,0.9,3.3,0.9758269720101781,0.7674418604651163,0.7857142857142856,0.776470588235294,0.8882522522522522,0.776470588235294,0.8747562296858071,0.7637541252487409,
