,F108,F109,F116,F117,F110,F115,F38,category,1
0,-0.8849096,-0.44301668,-0.1472283,-0.43792647,-0.4379264,-0.6877364,-0.20193073,0,0.0016065444739065315
1,-0.8849096,-0.44301668,-0.1472283,-0.43792647,-0.4379264,-0.6877364,-0.2588163,0,0.001545429124256899
2,-0.8849096,-0.44301668,-0.1472283,-0.43792647,-0.4379264,-0.6877364,-0.2588163,0,0.001545429124256899
3,-0.8849096,-0.44301668,-0.1472283,-0.43792647,-0.4379264,-0.6877364,-0.2588163,0,0.001545429124256899
4,-0.8849096,-0.44301668,-0.1472283,-0.43792647,-0.4379264,-0.6877364,-0.2588163,0,0.001545429124256899
5,-0.8849096,-0.44301668,-0.1472283,-0.43792647,-0.4379264,-0.6877364,-0.2588163,0,0.001545429124256899
6,-0.8849096,-0.44301668,-0.1472283,-0.43792647,-0.4379264,-0.6877364,-0.2588163,0,0.001545429124256899
7,-0.8849096,-0.44301668,-0.1472283,-0.43792647,-0.4379264,-0.6877364,-0.2588163,0,0.001545429124256899
8,-0.8849096,-0.44301668,-0.1472283,-0.43792647,-0.4379264,-0.6877364,-0.2588163,0,0.001545429124256899
9,-0.8849096,-0.44301668,-0.1472283,-0.43792647,-0.4379264,-0.6877364,-0.2588163,0,0.001545429124256899
10,0.024615882,1.514659,-0.80678064,-0.28713745,-0.28713742,-0.6877364,-0.2588163,0,0.00041433720645904704
11,-0.8849096,0.22185442,-0.80678064,-0.35227492,-0.3522749,-0.6877364,-0.2588163,0,0.0002536977922654198
12,-0.8849096,-0.44301668,-0.1472283,-0.43792647,-0.4379264,-0.6877364,-0.2588163,0,0.001545429124256899
13,0.024615882,1.514659,-0.80678064,-0.28713745,-0.28713742,-0.6877364,-0.2588163,0,0.00041433720645904704
14,0.024615882,1.514659,-0.80678064,-0.28713745,-0.28713742,-0.6877364,-0.2588163,0,0.00041433720645904704
15,0.024615882,1.514659,-0.80678064,-0.28713745,-0.28713742,-0.6877364,-0.2588163,0,0.00041433720645904704
16,0.024615882,1.1822237,1.8314286,0.9045822,0.9045822,2.4259,-0.2588163,1,0.9998718670022743
17,0.024615882,-0.73851484,1.8314286,2.2937868,2.2937868,2.4259,-0.23353381,1,0.9999625933261369
18,0.024615882,-0.73851484,1.8314286,2.2937868,2.2937868,2.4259,-0.23353381,1,0.9999625933261369
19,0.024615882,0.5173526,1.8314286,2.5048914,2.5048914,2.4259,-0.23353381,1,0.999988209457422
20,0.024615882,0.5173526,1.8314286,2.5048914,2.5048914,2.4259,-0.23353381,1,0.999988209457422
21,0.024615882,1.1822237,-0.80678064,0.9045822,0.9045822,-0.6877364,-0.2588163,0,0.0026711192888540054
22,0.024615882,1.1822237,-0.80678064,0.9045822,0.9045822,-0.6877364,-0.2588163,0,0.0026711192888540054
23,0.024615882,1.1822237,-0.80678064,0.9045822,0.9045822,-0.6877364,-0.2588163,0,0.0026711192888540054
24,0.024615882,-1.4033859,-0.80678064,-0.8319236,-0.8319236,-0.6877364,-0.2588163,0,2.5787845917130054e-05
25,0.024615882,-1.0340132,-0.80678064,0.7002874,0.7002874,-0.6877364,-0.2588163,0,0.00046768660709267613
26,0.024615882,0.73897624,0.512324,-0.52548134,-0.52548134,-0.6877364,-0.2588163,0,0.01905068354954082
27,0.024615882,0.73897624,0.512324,-0.52548134,-0.52548134,-0.6877364,-0.2588163,0,0.01905068354954082
28,0.024615882,0.73897624,0.512324,-0.52548134,-0.52548134,-0.6877364,-0.2588163,0,0.01905068354954082
29,0.024615882,0.73897624,0.512324,-0.52548134,-0.52548134,-0.6877364,-0.2588163,0,0.01905068354954082
30,0.024615882,0.73897624,0.512324,-0.52548134,-0.52548134,-0.6877364,-0.2588163,0,0.01905068354954082
31,0.024615882,0.73897624,0.512324,-0.52548134,-0.52548134,-0.6877364,-0.2588163,0,0.01905068354954082
32,-0.8849096,-0.44301668,-0.1472283,-0.43792647,-0.4379264,-0.6877364,-0.2588163,0,0.001545429124256899
33,-0.8849096,-0.44301668,-0.1472283,-0.43792647,-0.4379264,-0.6877364,-0.2588163,0,0.001545429124256899
34,0.024615882,0.29572892,0.512324,-0.6787025,-0.67870253,-0.6877364,0.6071081,0,0.01994544228872314
35,0.024615882,0.59122705,1.8314286,-0.109595545,-0.109595545,2.4259,0.24683298,1,0.9992328021431496
36,0.024615882,0.59122705,1.8314286,-0.109595545,-0.109595545,2.4259,0.24683298,1,0.9992328021431496
37,0.024615882,0.73897624,0.512324,-0.52548134,-0.52548134,2.4259,0.2657948,1,0.8588393600483538
38,0.024615882,0.73897624,0.512324,-0.52548134,-0.52548134,2.4259,-0.20193073,1,0.8155207532213105
39,0.024615882,-1.3295113,0.512324,0.08740303,0.08740303,2.4259,-0.20193073,1,0.7784298959132329
40,0.024615882,-0.81238943,1.8314286,1.0067296,1.0067296,2.4259,-0.20193073,1,0.9996399007127404
41,0.024615882,1.4038471,1.8314286,-0.407619,-0.407619,2.4259,-0.2208926,1,0.9989344778046697
42,0.024615882,1.4038471,1.8314286,-0.407619,-0.407619,2.4259,3.0658276,1,0.9998869549188232
43,0.024615882,-1.0709504,0.512324,0.1709782,0.17097814,2.4259,-0.1892895,1,0.8281674766438004
44,0.024615882,1.1822237,-0.80678064,0.9045822,0.9045822,-0.6877364,-0.2588163,0,0.0026711192888540054
45,0.024615882,1.1822237,-0.80678064,0.9045822,0.9045822,-0.6877364,-0.2588163,0,0.0026711192888540054
46,0.024615882,1.1822237,-0.80678064,0.9045822,0.9045822,-0.6877364,-0.2588163,0,0.0026711192888540054
47,0.024615882,-1.2556367,-0.80678064,-0.8319236,-0.8319236,-0.6877364,-0.2588163,0,2.8289946453660124e-05
48,0.024615882,0.22185442,-0.80678064,-0.35227492,-0.3522749,0.09067267,-0.05023596,0,0.0007294866192628429
49,0.024615882,-0.73851484,1.8314286,2.2937868,2.2937868,0.09067267,-0.05023596,1,0.9981247658972691
50,0.024615882,1.4038471,-0.80678064,-0.407619,-0.407619,0.09067267,-0.05023596,0,0.0013888056045429937
51,0.024615882,0.59122705,-0.80678064,-0.109595545,-0.109595545,0.09067267,-0.05023596,0,0.0014018764682030625
52,0.024615882,1.1822237,-0.80678064,0.9045822,0.9045822,0.09067267,-0.05023596,0,0.01174010255669809
53,0.024615882,1.1822237,-0.80678064,0.9045822,0.9045822,0.09067267,-0.05023596,0,0.01174010255669809
54,0.024615882,1.1822237,-0.80678064,0.9045822,0.9045822,0.09067267,-0.05023596,0,0.01174010255669809
55,0.9341414,-1.1817622,1.8314286,-0.3722603,-0.37226027,0.09067267,-0.05023596,1,0.7162795898975984
56,0.024615882,1.1822237,1.8314286,0.9045822,0.9045822,2.4259,0.1330619,1,0.9999019479076627
57,0.024615882,-1.3295113,1.8314286,1.9260561,1.9260561,2.4259,0.1330619,1,0.9999200076325577
58,0.024615882,-1.2556367,-0.80678064,-0.8319236,-0.8319236,0.09067267,-0.2588163,0,0.00010881416781023205
59,0.024615882,-1.2556367,-0.80678064,-0.8319236,-0.8319236,0.09067267,-0.2588163,0,0.00010881416781023205
60,0.024615882,1.514659,-0.80678064,-0.28713745,-0.28713742,0.09067267,-0.2588163,0,0.0015919531443848943
61,0.024615882,0.29572892,0.512324,-0.6787025,-0.67870253,0.09067267,-0.2588163,1,0.041538782417913235
62,0.024615882,-0.73851484,-0.80678064,-0.464193,-0.464193,-0.6877364,-0.2588163,0,7.418914529957587e-05
63,0.024615882,-0.73851484,-0.80678064,-0.464193,-0.464193,-0.6877364,-0.2588163,0,7.418914529957587e-05
64,0.024615882,-0.73851484,-0.80678064,-0.464193,-0.464193,-0.6877364,-0.2588163,0,7.418914529957587e-05
65,0.024615882,-0.6646403,-0.80678064,-0.8319236,-0.8319236,-0.16879705,-0.2588163,0,0.00010058472908295675
66,0.024615882,-0.6646403,-0.80678064,-0.8319236,-0.8319236,-0.16879705,-0.2588163,0,0.00010058472908295675
67,0.024615882,-0.6646403,-0.80678064,-0.8319236,-0.8319236,-0.16879705,-0.2588163,0,0.00010058472908295675
68,0.024615882,-0.6646403,-0.80678064,-0.8319236,-0.8319236,-0.16879705,-0.2588163,0,0.00010058472908295675
69,0.024615882,-0.6646403,-0.80678064,-0.8319236,-0.8319236,-0.16879705,-0.2588163,0,0.00010058472908295675
70,0.024615882,-1.292574,1.8314286,-0.09646228,-0.09646234,-0.16879705,-0.2588163,1,0.7646106171666673
71,0.024615882,-1.0709504,1.8314286,2.5110824,2.5110822,2.4259,-0.2588163,1,0.9999678864692836
72,-0.8849096,-0.44301668,-0.1472283,-0.43792647,-0.4379264,-0.6877364,-0.2588163,0,0.001545429124256899
73,0.024615882,1.2560982,0.512324,-0.43437696,-0.43437696,-0.6877364,-0.23353381,0,0.03102439206449652
