"data_dir","result_dir","num_run","balance_data","feaSelect","correlate","eps","min_Pts","k","MLmodel","select_method","LDF_r",
../data/,../result_data/,10,NO,DBSCAN,Euclidean,32,1,9,NB,std,17,F66,F65,F77,F12,F72,F117,F107,F9,F41,F23,F36,F122,F2,F74,F105,F34,F71,F39,F16,F146,F104,F79,F101,F35,F84,F8,F137,F111,F109,F114,F120,F17,F116,F115,F1,F62,F40,F61,F19,F108,F46,F37,F119,F131,F3,F22,F10-NA,F73,F7,F83,F118,
../data/,../result_data/,10,NO,DBSCAN,Euclidean,32,1,9,NB,std,17,F66,F77,F61,F17,F107,F83,F72,F122,F115,F41,F118,F111,F120,F3,F8,F12,F2,F114,F19,F16,F23,F79,F101,F146,F7,F39,F137,F74,F1,F73,F71,F35,F104,F10-NA,F46,F9,F117,F36,F37,F109,F34,F108,F119,F62,F65,F40,F22,F116,F105,F131,F84,
../data/,../result_data/,10,NO,DBSCAN,Euclidean,32,1,9,NB,std,17,F77,F66,F104,F109,F12,F46,F72,F122,F17,F65,F10-NA,F101,F16,F2,F117,F74,F8,F116,F41,F1,F131,F146,F79,F120,F84,F36,F39,F73,F119,F35,F137,F62,F34,F115,F111,F107,F7,F40,F118,F108,F61,F9,F83,F71,F37,F19,F114,F23,F22,F3,F105,
../data/,../result_data/,10,NO,DBSCAN,Euclidean,32,1,9,NB,std,17,F10-NA,F111,F73,F1,F131,F120,F40,F41,F65,F101,F104,F2,F109,F66,F84,F12,F61,F77,F3,F83,F105,F146,F114,F115,F122,F74,F34,F71,F119,F8,F117,F108,F62,F79,F19,F16,F9,F137,F46,F118,F22,F36,F7,F116,F37,F72,F39,F107,F35,F17,F23,
../data/,../result_data/,10,NO,DBSCAN,Euclidean,32,1,9,NB,std,17,F115,F118,F83,F116,F66,F62,F35,F41,F2,F107,F111,F146,F77,F73,F12,F120,F117,F65,F72,F119,F17,F79,F9,F114,F40,F122,F16,F37,F109,F101,F108,F22,F34,F39,F131,F71,F84,F105,F46,F7,F10-NA,F61,F3,F104,F36,F19,F137,F8,F74,F23,F1,
../data/,../result_data/,10,NO,DBSCAN,Euclidean,32,1,9,NB,std,17,F79,F117,F16,F120,F66,F62,F12,F104,F107,F19,F3,F41,F1,F65,F77,F122,F22,F114,F74,F46,F37,F116,F105,F115,F40,F35,F84,F72,F9,F111,F34,F146,F10-NA,F83,F17,F39,F36,F7,F61,F137,F8,F101,F131,F23,F108,F73,F2,F118,F71,F109,F119,
../data/,../result_data/,10,NO,DBSCAN,Euclidean,32,1,9,NB,std,17,F41,F40,F111,F146,F66,F105,F22,F71,F34,F17,F46,F62,F10-NA,F122,F35,F36,F2,F73,F77,F37,F12,F118,F1,F74,F79,F72,F109,F19,F84,F114,F61,F115,F9,F16,F83,F101,F131,F8,F117,F3,F119,F108,F137,F120,F39,F7,F116,F65,F107,F104,F23,
../data/,../result_data/,10,NO,DBSCAN,Euclidean,32,1,9,NB,std,17,F22,F66,F107,F10-NA,F117,F65,F1,F12,F7,F61,F41,F62,F16,F104,F39,F35,F111,F46,F2,F77,F122,F115,F79,F71,F23,F114,F120,F101,F119,F19,F36,F72,F109,F118,F9,F3,F8,F34,F105,F17,F74,F146,F37,F108,F131,F40,F73,F83,F137,F116,F84,
../data/,../result_data/,10,NO,DBSCAN,Euclidean,32,1,9,NB,std,17,F146,F19,F84,F41,F66,F83,F119,F35,F116,F9,F72,F74,F37,F22,F62,F111,F131,F3,F101,F77,F105,F117,F114,F36,F16,F40,F120,F137,F108,F118,F79,F8,F71,F104,F12,F122,F7,F115,F107,F65,F17,F73,F61,F109,F2,F10-NA,F1,F46,F39,F34,F23,
../data/,../result_data/,10,NO,DBSCAN,Euclidean,32,1,9,NB,std,17,F66,F8,F3,F131,F16,F72,F79,F61,F104,F117,F12,F7,F122,F114,F118,F9,F77,F74,F109,F120,F39,F46,F10-NA,F41,F115,F105,F37,F111,F108,F22,F35,F17,F1,F119,F2,F19,F101,F23,F36,F116,F34,F107,F62,F65,F146,F71,F137,F40,F83,F73,F84,
../data/,../result_data/,10,NO,DBSCAN,Euclidean,32,1,9,NB,inclass_corr,17,F16,F67,F77,F72,F36,F12,F74,F39,F146,F120,F62,F115,F10-NA,F3,F104,F114,F35,F44,F79,F22,F119,F40,F61,F17,F117,F105,F46,F73,F8,F37,F107,F2,F34,F23,F19,F71,F94,F101,F83,F65,F109,F137,F1,F121,F9,F131,F118,F7,F116,F108,F84,
../data/,../result_data/,10,NO,DBSCAN,Euclidean,32,1,9,NB,inclass_corr,17,F67,F114,F2,F62,F72,F77,F17,F12,F16,F146,F71,F109,F36,F44,F10-NA,F137,F65,F131,F7,F101,F119,F104,F120,F46,F23,F74,F9,F34,F37,F61,F22,F73,F39,F79,F3,F105,F121,F94,F35,F83,F8,F118,F19,F116,F108,F107,F117,F40,F115,F1,F84,
../data/,../result_data/,10,NO,DBSCAN,Euclidean,32,1,9,NB,inclass_corr,17,F73,F12,F77,F67,F22,F39,F94,F71,F118,F35,F46,F120,F44,F117,F65,F34,F105,F121,F72,F115,F10-NA,F101,F62,F79,F137,F36,F17,F9,F146,F16,F109,F104,F23,F2,F3,F107,F61,F131,F83,F37,F116,F40,F119,F108,F114,F1,F74,F8,F84,F19,F7,
