"data_dir","result_dir","num_run","balance_data","feaSelect","correlate","eps","min_Pts","k","MLmodel","select_method","LDF_r",
../data/,../result_data/,10,NO,DBSCAN,Euclidean,26,1,9,NB,inclass_corr,5,F94,F109,F5,F105,F128,F136,F46,F14,F10,F83,F131,F121,F114,F35,F4,F129,F84,F72,F1,F8,F95,F117,F113,F34,F101,F2,F62,F12,F104,F77,F130,F43,F107,F19,F108,F71,F18,F73,F41,F7,F137,F36,F134,F22,F23,F16,F118,F40,F37,F0-NA,F9,F45,F13,F119,F116,F67,F11,F65,F61,F3,F42,F103,F6,F17,F64,
../data/,../result_data/,10,NO,DBSCAN,Euclidean,26,1,9,NB,inclass_corr,5,F113,F19,F16,F109,F72,F130,F117,F119,F10,F17,F36,F136,F77,F104,F108,F18,F103,F5,F121,F114,F129,F94,F4,F11,F73,F45,F41,F71,F46,F131,F9,F3,F62,F23,F43,F84,F40,F35,F22,F8,F34,F1,F7,F42,F134,F12,F95,F83,F116,F65,F61,F13,F64,F67,F101,F14,F37,F128,F0-NA,F2,F6,F137,F107,F118,F105,
../data/,../result_data/,10,NO,DBSCAN,Euclidean,26,1,9,NB,inclass_corr,5,F121,F131,F113,F23,F13,F94,F129,F43,F136,F61,F62,F77,F118,F0-NA,F16,F72,F8,F64,F2,F45,F35,F137,F10,F40,F1,F101,F65,F119,F18,F12,F104,F41,F117,F105,F6,F11,F22,F107,F116,F103,F73,F4,F14,F3,F36,F37,F71,F84,F17,F19,F42,F95,F130,F5,F83,F109,F114,F67,F128,F108,F7,F34,F9,F46,F134,
../data/,../result_data/,10,NO,DBSCAN,Euclidean,26,1,9,NB,inclass_corr,5,F136,F35,F94,F13,F8,F71,F116,F101,F41,F46,F23,F77,F114,F128,F42,F105,F84,F113,F134,F73,F45,F129,F108,F36,F4,F16,F43,F34,F17,F121,F37,F11,F130,F95,F22,F6,F62,F14,F131,F119,F65,F83,F19,F7,F64,F107,F5,F72,F109,F9,F1,F104,F137,F118,F67,F103,F18,F117,F10,F3,F61,F12,F0-NA,F40,F2,
../data/,../result_data/,10,NO,DBSCAN,Euclidean,26,1,9,NB,inclass_corr,5,F19,F113,F42,F11,F64,F62,F37,F6,F67,F71,F45,F121,F136,F65,F22,F116,F16,F117,F129,F84,F95,F94,F134,F4,F41,F10,F83,F128,F118,F18,F43,F46,F108,F73,F130,F104,F72,F12,F109,F14,F5,F36,F131,F77,F23,F137,F105,F114,F17,F1,F2,F119,F101,F40,F103,F8,F35,F13,F0-NA,F107,F61,F3,F9,F7,F34,
../data/,../result_data/,10,NO,DBSCAN,Euclidean,26,1,9,NB,inclass_corr,5,F136,F117,F109,F121,F10,F9,F64,F46,F77,F113,F11,F18,F40,F5,F6,F95,F3,F94,F108,F116,F22,F34,F13,F7,F67,F83,F129,F128,F17,F84,F35,F134,F16,F118,F105,F41,F1,F14,F2,F72,F119,F137,F0-NA,F107,F19,F36,F62,F103,F37,F12,F43,F114,F8,F42,F61,F71,F104,F45,F73,F4,F101,F65,F131,F130,F23,
../data/,../result_data/,10,NO,DBSCAN,Euclidean,26,1,9,NB,inclass_corr,5,F36,F23,F84,F62,F136,F131,F14,F11,F77,F6,F72,F13,F83,F34,F67,F94,F19,F113,F16,F35,F10,F121,F17,F64,F41,F5,F129,F104,F128,F119,F18,F137,F103,F117,F42,F134,F7,F107,F9,F45,F114,F37,F73,F116,F95,F101,F40,F12,F105,F1,F8,F118,F43,F22,F65,F0-NA,F61,F3,F130,F2,F46,F109,F4,F71,F108,
../data/,../result_data/,10,NO,DBSCAN,Euclidean,26,1,9,NB,inclass_corr,5,F119,F137,F113,F131,F41,F130,F128,F72,F4,F136,F73,F6,F129,F83,F12,F17,F107,F61,F22,F117,F94,F84,F77,F46,F121,F95,F42,F23,F13,F11,F67,F114,F101,F2,F3,F5,F14,F8,F40,F35,F9,F10,F0-NA,F16,F71,F64,F118,F105,F103,F65,F18,F62,F7,F108,F1,F37,F109,F36,F104,F134,F116,F34,F43,F19,F45,
../data/,../result_data/,10,NO,DBSCAN,Euclidean,26,1,9,NB,inclass_corr,5,F14,F12,F95,F129,F62,F61,F108,F113,F23,F5,F41,F121,F71,F42,F67,F64,F6,F4,F72,F13,F114,F136,F37,F7,F101,F46,F77,F130,F107,F118,F65,F11,F10,F73,F45,F16,F3,F94,F18,F128,F131,F117,F36,F19,F1,F109,F103,F116,F84,F119,F104,F35,F22,F0-NA,F137,F2,F9,F105,F83,F34,F17,F43,F40,F8,F134,
../data/,../result_data/,10,NO,DBSCAN,Euclidean,26,1,9,NB,LDF,5,F77,F114,F79,F120,F62,F65,F4,F6,F36,F126,F1,F34,F107,F46,F42,F108,F84,F66,F95,F103,F117,F3,F41,F12,F16,F128,F14,F118,F7,F116,F37,F35,F105,F0-NA,F23,F137,F73,F45,F17,F104,F71,F61,F101,F64,F2,F9,F40,F22,F67,F43,F134,F13,F83,F10,F94,F8,F19,F131,F5,F18,F72,F11,F109,F130,F119,
