"data_dir","result_dir","num_run","balance_data","feaSelect","correlate","eps","min_Pts","k","MLmodel","select_method","LDF_r","TN","FP","FN","TP","accuracy","precision","recall","F1","AUC","F_MEASURE","G_MEASURE","MCC",
../data/,../result_data/,5,NO,recurElimination,Euclidean,11,1,30,LR,LDF,10,200.5,4.1,4.6,29.7,0.9635830891586439,0.878698224852071,0.8658892128279884,0.8722466960352424,0.9230540752886522,0.8722466960352424,0.9194002981371447,0.8510441791012806,
../data/,../result_data/,5,NO,recurElimination,Euclidean,11,1,31,LR,LDF,10,200.6,4.0,4.4,29.9,0.9648388447048974,0.8820058997050148,0.8717201166180758,0.8768328445747801,0.9261131037780965,0.8768328445747801,0.9228934645933411,0.8563458970762928,
../data/,../result_data/,5,NO,recurElimination,Euclidean,11,1,32,LR,LDF,10,200.6,4.0,4.4,29.9,0.9648388447048974,0.8820058997050148,0.8717201166180758,0.8768328445747801,0.9261131037780965,0.8768328445747801,0.9228934645933411,0.8563458970762928,
../data/,../result_data/,5,NO,recurElimination,Euclidean,11,1,33,LR,LDF,10,200.5,4.1,4.4,29.9,0.9644202595228129,0.8794117647058823,0.8717201166180758,0.8755490483162518,0.9258680057388808,0.8755490483162518,0.9226768780170977,0.8548037207401203,
../data/,../result_data/,5,NO,recurElimination,Euclidean,11,1,34,LR,LDF,10,200.5,4.1,4.3,30.0,0.9648388447048974,0.8797653958944281,0.8746355685131196,0.8771929824561404,0.9272965771674523,0.8771929824561404,0.9243074417121586,0.8566803442897948,
../data/,../result_data/,5,NO,recurElimination,Euclidean,11,1,35,LR,LDF,10,200.4,4.2,4.3,30.0,0.9644202595228129,0.8771929824561403,0.8746355685131196,0.8759124087591241,0.9270526747284279,0.8759124087591241,0.924089974269351,0.8551465387363467,
../data/,../result_data/,5,NO,recurElimination,Euclidean,11,1,36,LR,LDF,10,200.4,4.2,4.3,30.0,0.9644202595228129,0.8771929824561403,0.8746355685131196,0.8759124087591241,0.9270526747284279,0.8759124087591241,0.924089974269351,0.8551465387363467,
../data/,../result_data/,5,NO,recurElimination,Euclidean,11,1,37,LR,LDF,10,200.4,4.2,4.3,30.0,0.9644202595228129,0.8771929824561403,0.8746355685131196,0.8759124087591241,0.9270526747284279,0.8759124087591241,0.924089974269351,0.8551465387363467,
../data/,../result_data/,5,NO,recurElimination,Euclidean,11,1,38,LR,LDF,10,200.4,4.2,4.3,30.0,0.9644202595228129,0.8771929824561403,0.8746355685131196,0.8759124087591241,0.9270526747284279,0.8759124087591241,0.924089974269351,0.8551465387363467,
../data/,../result_data/,5,NO,recurElimination,Euclidean,11,1,39,LR,LDF,10,200.4,4.2,4.4,29.9,0.9640016743407284,0.87683284457478,0.8717201166180758,0.8742690058479532,0.9255832820933252,0.8742690058479532,0.9224601770728935,0.8532678329014557,
